Scientific name,Common Name,Local Name,Order,Family,Authoriity,Specie Status,Conservation Status
Acacia muricata,Spineless wattle ,,,,Carl Linnaeus (L.),,
Adansonia digitata,Afican Baobab,,,,Carl Linnaeus (L.),,
Albizia lebbeck Benth,Indian Siris,,,Fabaceae,,Indigenous Specie,Least Concerned
Albizia saman,Rain Tree,,,,Nikolaus Joseph Freiherr Von Jacquin(Jacq.),,
Albizia zygia,"Red Nongo,Akoro",,,Leguminosae-Mimosoidae,,,
Alstonea boonei,Cheese wood,,,Apocynaceae,,,
Alstonea scholaris ,Devil's tree,,,Apocynaceae,,,
Anacardium occidentale,Cashew nut,,,Anacardiaceae,,,
Annona cherimola Mill.,,,,Annonaceae,,Exotic Specie,Least Concerned
Annona muricata L.,,,,Annonaceae,,Exotic Specie,Least Concerned
Annona reticulata ,,,,Annonaceae ,Carl Linnaeus ,Exotic Specie,Data Defficient 
Antiaris toxicaria Lesch.,Upas tree,,,Moraceae,,Exotic Specie,Least Concerned
Araucaria columnaris,Cook Pine ,,,,Johann Reinhold Forster(J.R.Forst.)William Jackson Hooker(Hook.),,
Araucaria heterophylla ,,,,Araucariaceae , Salisb.,Exotic Specie,Vulnerable 
Azadirachta indica A.Juss,Neem tree,Dongoyaro,,Meliaceae,"Adrien-Henri de Jussieu (A.Juss.,1830)",Indigenous Specie,Least Concerned
Blighia sapida,Ackee,,,Sapindaceae,,,
Butea monosperma,flame of the forest tree,,,Fabaceae,,,
Caesalpinia echinata,Brazil wood,,,Fabaceae,,,
Caesalpinia pulcherrima,Peacock Flower,,,Fabaceae,,,
Caesalpinia sappan,Sappan wood,,,Fabaceae,,,
Carica papaya L.,Pawpaw,,,Caricaceae, Carl Linnaeus,Exotic Specie,Data Deficient
Caryota mitis,Fishtail Palm ,,,Arecaceae,Lour.,,
Cascabela thevetia ,,,,Apocynaceae ,K. Schum ,Exotic Specie,Least Concern 
Cascabela thevetia Lippold.,,,,Apocynaceae,,Exotic Specie,Least Concerned
Cassia fistula,Golden Shower Tree,,,Fabaceae ,Carl Linnaeus (L.),Exotic Specie,
Casuarina equisetifolia L.,Whistling Pine Tree,,,Casuarinaceae ,Carl Linnaeus (L.),Exotic Specie,Least Concerned
Celastros indices,,,,Celastraceae,,Exotic Specie,
Cettis bungeana,Bunge's hackberry,,,,Carl Ludwig Blume (Blume),,
Citrus limon N.Burman,,,,Rutaceae,,Indigenous Specie,Least Concerned
Citrus sinensis,Orange Tree,,,Rutaceae,Carl Linnaeus (L.) Pehr Osbeck(Osbeck),,
Cocos nucifera,Coconut tree,,,Aretaceae,Carl Linnaeus ,Exotic Specie,Least Concerned
Commersonia bartramia,Brown kurrajong,,,Malvaceae,,,
Cordia africana Lam.,,,,Boraginaceae,,Indigenous Specie,Least Concerned
Cordia sabestena,Geiger Tree ,,,,Carl Linnaeus (L.),,
Delonix regia Raf.,Flame of Forest,,,Fabaceae,(Boj.ex Hook)Raf.,Exotic Specie,Least Concerned
Dimocarpus longan Lour.,"Longan, dragon's eye",,,Sapindaceae,,Exotic Specie,Near Threatened
Duranta repens ,Golden dewberry,,,Verbenaceae,,,
Elaeis guineensis,African Oil Palm,,,Arecaceae,Nikolaus Joseph Freiherr Von Jacquin(Jacq.),,
Eriobotrya japonica Lindl.,,,,Pinaceae,,Exotic Specie,
Erythrina variegate,Tiger's claw,,,Fabaceae,,,
Eucalyptus camaldulensis,Red gum,,,Mytaceae,,,
Eucalyptus globulus,Tasmanian Blue Gum,,,Mytaceae,,,
Eucalyptus tereticornis,Forest Red Gum,,,Myrtaceae,,,
Ficus benghalensis,Bayan Fig,,,,Carl Linnaeus (L.),,
Ficus benjamina,Weeping Fig,,,,Carl Linnaeus (L.),,
Ficus citrifolia Mill.,,,,Moraceae,,Indigenous Specie,Least Concerned
